Name, Time, Batch Dimension, ARows, ACols, BCols, B1, B2, B3, Correctness
kernel18x20,0.662194,4,2000,2000,2000,120,480,240,1
kernel12x24,0.649728,4,2000,2000,2000,120,480,240,1
kernel12x32,0.661598,4,2000,2000,2000,120,480,240,1
kernel8x16,0.0345295,1,1000,1000,1000,120,480,480,1
kernel14x8,0.0223554,1,1000,1000,1000,120,480,480,1
kernel4x12,0.0224036,1,1000,1000,1000,120,480,480,1
kernel10x12,0.0222137,1,1000,1000,1000,120,480,480,1
kernel14x16,0.0274749,1,1000,1000,1000,120,480,480,1
kernel18x20,0.0279844,1,1000,1000,1000,120,480,480,1
kernel12x24,0.0275279,1,1000,1000,1000,120,480,480,1
kernel12x32,0.0283663,1,1000,1000,1000,120,480,480,1
kernel8x16,0.42899,4,2000,2000,2000,120,480,480,1
kernel14x8,0.482095,4,2000,2000,2000,120,480,480,1
kernel4x12,0.544178,4,2000,2000,2000,120,480,480,1
kernel10x12,0.490745,4,2000,2000,2000,120,480,480,1
kernel14x16,0.6528,4,2000,2000,2000,120,480,480,1
kernel18x20,0.669943,4,2000,2000,2000,120,480,480,1
kernel12x24,0.664263,4,2000,2000,2000,120,480,480,1
kernel12x32,0.676937,4,2000,2000,2000,120,480,480,1
kernel8x16,0.0185183,1,1000,1000,1000,240,120,120,1
kernel14x8,0.0160359,1,1000,1000,1000,240,120,120,1
kernel4x12,0.0173845,1,1000,1000,1000,240,120,120,1
kernel10x12,0.0155233,1,1000,1000,1000,240,120,120,1
kernel14x16,0.0226536,1,1000,1000,1000,240,120,120,1
kernel18x20,0.0247867,1,1000,1000,1000,240,120,120,1
kernel12x24,0.0240148,1,1000,1000,1000,240,120,120,1
kernel12x32,0.0226681,1,1000,1000,1000,240,120,120,1
kernel8x16,0.397669,4,2000,2000,2000,240,120,120,1
kernel14x8,0.404373,4,2000,2000,2000,240,120,120,1
kernel4x12,0.474528,4,2000,2000,2000,240,120,120,1
kernel10x12,0.425838,4,2000,2000,2000,240,120,120,1
kernel14x16,0.603681,4,2000,2000,2000,240,120,120,1
kernel18x20,0.62704,4,2000,2000,2000,240,120,120,1
kernel12x24,0.621992,4,2000,2000,2000,240,120,120,1
kernel12x32,0.636281,4,2000,2000,2000,240,120,120,1
kernel8x16,0.0185987,1,1000,1000,1000,240,120,240,1
kernel14x8,0.0189025,1,1000,1000,1000,240,120,240,1
kernel4x12,0.0207313,1,1000,1000,1000,240,120,240,1
kernel10x12,0.0192559,1,1000,1000,1000,240,120,240,1
kernel14x16,0.0245326,1,1000,1000,1000,240,120,240,1
kernel18x20,0.0253774,1,1000,1000,1000,240,120,240,1
kernel12x24,0.0259275,1,1000,1000,1000,240,120,240,1
kernel12x32,0.0233915,1,1000,1000,1000,240,120,240,1
kernel8x16,0.400869,4,2000,2000,2000,240,120,240,1
kernel14x8,0.405629,4,2000,2000,2000,240,120,240,1
kernel4x12,0.483824,4,2000,2000,2000,240,120,240,1
kernel10x12,0.431197,4,2000,2000,2000,240,120,240,1
kernel14x16,0.61346,4,2000,2000,2000,240,120,240,1
kernel18x20,0.627169,4,2000,2000,2000,240,120,240,1
kernel12x24,0.621525,4,2000,2000,2000,240,120,240,1
kernel12x32,0.634286,4,2000,2000,2000,240,120,240,1
kernel8x16,0.0221604,1,1000,1000,1000,240,120,480,1
kernel14x8,0.0275477,1,1000,1000,1000,240,120,480,1
kernel4x12,0.0318846,1,1000,1000,1000,240,120,480,1
kernel10x12,0.0291171,1,1000,1000,1000,240,120,480,1
kernel14x16,0.0394667,1,1000,1000,1000,240,120,480,1
kernel18x20,0.0409888,1,1000,1000,1000,240,120,480,1
kernel12x24,0.0406526,1,1000,1000,1000,240,120,480,1
kernel12x32,0.0407751,1,1000,1000,1000,240,120,480,1
kernel8x16,0.417475,4,2000,2000,2000,240,120,480,1
kernel14x8,0.430986,4,2000,2000,2000,240,120,480,1
kernel4x12,0.551548,4,2000,2000,2000,240,120,480,1
kernel10x12,0.454893,4,2000,2000,2000,240,120,480,1
kernel14x16,0.642966,4,2000,2000,2000,240,120,480,1
kernel18x20,0.645564,4,2000,2000,2000,240,120,480,1
kernel12x24,0.65571,4,2000,2000,2000,240,120,480,1
kernel12x32,0.653722,4,2000,2000,2000,240,120,480,1
kernel8x16,0.0220095,1,1000,1000,1000,240,240,120,1
kernel14x8,0.0169639,1,1000,1000,1000,240,240,120,1
kernel4x12,0.0187575,1,1000,1000,1000,240,240,120,1
kernel10x12,0.0174489,1,1000,1000,1000,240,240,120,1
kernel14x16,0.023328,1,1000,1000,1000,240,240,120,1
kernel18x20,0.0243495,1,1000,1000,1000,240,240,120,1
kernel12x24,0.0250516,1,1000,1000,1000,240,240,120,1
kernel12x32,0.0237109,1,1000,1000,1000,240,240,120,1
kernel8x16,0.406441,4,2000,2000,2000,240,240,120,1
kernel14x8,0.419873,4,2000,2000,2000,240,240,120,1
kernel4x12,0.477602,4,2000,2000,2000,240,240,120,1
kernel10x12,0.433736,4,2000,2000,2000,240,240,120,1
kernel14x16,0.617603,4,2000,2000,2000,240,240,120,1
kernel18x20,0.636035,4,2000,2000,2000,240,240,120,1
kernel12x24,0.625694,4,2000,2000,2000,240,240,120,1
kernel12x32,0.636401,4,2000,2000,2000,240,240,120,1
kernel8x16,0.0212351,1,1000,1000,1000,240,240,240,1
kernel14x8,0.018702,1,1000,1000,1000,240,240,240,1
kernel4x12,0.0206569,1,1000,1000,1000,240,240,240,1
kernel10x12,0.0190682,1,1000,1000,1000,240,240,240,1
kernel14x16,0.025594,1,1000,1000,1000,240,240,240,1
kernel18x20,0.0259964,1,1000,1000,1000,240,240,240,1
